month,num_tweets
2008-04-01,10
2008-05-01,51
2008-06-01,26
2008-07-01,13
2008-08-01,16
2008-09-01,36
2008-10-01,19
2008-11-01,16
2008-12-01,12
2009-01-01,48
2009-02-01,29
2009-03-01,26
2009-04-01,54
2009-05-01,97
2009-06-01,55
2009-07-01,27
2009-08-01,29
2009-09-01,40
2009-10-01,63
2009-11-01,37
2009-12-01,8
2010-01-01,39
2010-02-01,21
2010-03-01,31
2010-04-01,11
2010-05-01,11
2010-06-01,8
2010-07-01,3
2010-08-01,9
2010-09-01,7
2010-10-01,11
2010-11-01,8
2010-12-01,11
2011-01-01,17
2011-02-01,14
2011-03-01,53
2011-04-01,71
2011-05-01,211
2011-06-01,59
2011-07-01,28
2011-08-01,20
2011-09-01,69
2011-10-01,116
2011-11-01,40
2011-12-01,25
2012-01-01,92
2012-02-01,137
2012-03-01,129
2012-04-01,171
2012-05-01,696
2012-06-01,217
2012-07-01,294
2012-08-01,138
2012-09-01,233
2012-10-01,380
2012-11-01,338
2012-12-01,166
2013-01-01,125
2013-02-01,172
2013-03-01,123
2013-04-01,504
2013-05-01,683
2013-06-01,302
2013-07-01,235
2013-08-01,142
2013-09-01,276
2013-10-01,295
2013-11-01,523
2013-12-01,357
2014-01-01,205
2014-02-01,279
2014-03-01,509
2014-04-01,440
2014-05-01,742
2014-06-01,216
2014-07-01,426
2014-08-01,632
2014-09-01,565
2014-10-01,497
2014-11-01,243
2014-12-01,336
2015-01-01,469
2015-02-01,230
2015-03-01,310
2015-04-01,254
2015-05-01,582
2015-06-01,179
2015-07-01,255
2015-08-01,151
2015-09-01,366
2015-10-01,423
2015-11-01,334
2015-12-01,165
2016-01-01,285
2016-02-01,286
2016-03-01,452
2016-04-01,461
2016-05-01,662
2016-06-01,252
2016-07-01,243
2016-08-01,181
2016-09-01,272
2016-10-01,248
2016-11-01,326
2016-12-01,214
2017-01-01,187
2017-02-01,191
2017-03-01,288
2017-04-01,264
2017-05-01,412
2017-06-01,204
2017-07-01,325
2017-08-01,169
2017-09-01,255
2017-10-01,389
2017-11-01,444
2017-12-01,317
2018-01-01,241
2018-02-01,138
2018-03-01,189
2018-04-01,191
2018-05-01,322
2018-06-01,208
2018-07-01,137
2018-08-01,230
2018-09-01,348
2018-10-01,319
2018-11-01,360
2018-12-01,303
2019-01-01,163
2019-02-01,253
2019-03-01,286
2019-04-01,273
2019-05-01,578
2019-06-01,263
2019-07-01,274
2019-08-01,287
2019-09-01,468
2019-10-01,480
2019-11-01,394
2019-12-01,394
2020-01-01,441
2020-02-01,863
2020-03-01,807
2020-04-01,942
2020-05-01,973
2020-06-01,715
2020-07-01,617
2020-08-01,635
2020-09-01,695
2020-10-01,793
2020-11-01,813
2020-12-01,600
2021-01-01,590
2021-02-01,601
2021-03-01,669
2021-04-01,624
2021-05-01,927
2021-06-01,525
2021-07-01,536
2021-08-01,418
2021-09-01,557
2021-10-01,626
